ID,Name,Description,Extended_Description,Related_Weakness,Language,Technology,Likelihood_Of_Exploit,Consequence,CVE_Example
CWE-1004,Sensitive Cookie Without 'HttpOnly' Flag,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.","The HttpOnly flag directs compatible browsers to prevent client-side script from accessing cookies. Including the HttpOnly flag in the Set-Cookie HTTP response header helps mitigate the risk associated with Cross-Site Scripting (XSS) where an attacker's script code might attempt to read the contents of a cookie and exfiltrate information obtained. When set, browsers that support the flag will not reveal the contents of the cookie to a third party via client-side script executed via XSS.",ChildOf:732,Not Language-Specific,Web Based;Web Server,Medium,Confidentiality;Integrity,CVE-2024-47833;CVE-2022-24045;CVE-2014-3852;CVE-2015-4138
CWE-1007,Insufficient Visual Distinction of Homoglyphs Presented to User,"The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.","Some glyphs, pictures, or icons can be semantically distinct to a program, while appearing very similar or identical to a human user. These are referred to as homoglyphs. For example, the lowercase ""l"" (ell) and uppercase ""I"" (eye) have different character codes, but these characters can be displayed in exactly the same way to a user, depending on the font. This can also occur between different character sets. For example, the Latin capital letter ""A"" and the Greek capital letter ""Α"" (Alpha) are treated as distinct by programs, but may be displayed in exactly the same way to a user. Accent marks may also cause letters to appear very similar, such as the Latin capital letter grave mark ""À"" and its equivalent ""Á"" with the acute accent. Adversaries can exploit this visual similarity for attacks such as phishing, e.g. by providing a link to an attacker-controlled hostname that looks like a hostname that the victim trusts. In a different use of homoglyphs, an adversary may create a back door username that is visually similar to the username of a regular user, which then makes it more difficult for a system administrator to detect the malicious username while reviewing logs.",ChildOf:451,Not Language-Specific,Not Technology-Specific;Web Based,Medium,Integrity;Confidentiality,CVE-2013-7236;CVE-2012-0584;CVE-2009-0652;CVE-2017-5015;CVE-2005-0233;CVE-2005-0234;CVE-2005-0235
CWE-102,Struts: Duplicate Validation Forms,"The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.","If two validation forms have the same name, the Struts Validator arbitrarily chooses one of the forms to use for input validation and discards the other. This decision might not correspond to the programmer's expectations, possibly leading to resultant weaknesses. Moreover, it indicates that the validation logic is not up-to-date, and can indicate that other, more subtle validation errors are present.",ChildOf:694;ChildOf:1173;ChildOf:20,Java,,,Integrity,
CWE-1021,Improper Restriction of Rendered UI Layers or Frames,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with.","A web application is expected to place restrictions on whether it is allowed to be rendered within frames, iframes, objects, embed or applet elements. Without the restrictions, users can be tricked into interacting with the application when they were not intending to.",ChildOf:441;ChildOf:610;ChildOf:451,Not Language-Specific,Not Technology-Specific;Web Based,,Access Control,CVE-2017-7440;CVE-2017-5697;CVE-2017-4015;CVE-2016-2496;CVE-2015-1241;CVE-2017-0492
CWE-1022,Use of Web Link to Untrusted Target with window.opener Access,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying security-critical properties of the window.opener object, such as the location property.","When a user clicks a link to an external site (""target""), the target=""_blank"" attribute causes the target site's contents to be opened in a new window or tab, which runs in the same process as the original page. The window.opener object records information about the original page that offered the link. If an attacker can run script on the target page, then they could read or modify certain properties of the window.opener object, including the location property - even if the original and target site are not the same origin. An attacker can modify the location property to automatically redirect the user to a malicious site, e.g. as part of a phishing attack. Since this redirect happens in the original window/tab - which is not necessarily visible, since the browser is focusing the display on the new target page - the user might not notice any suspicious redirection.",ChildOf:266,Not Language-Specific;JavaScript,Web Based;Web Server,Medium,Confidentiality,CVE-2022-4927
CWE-1023,Incomplete Comparison with Missing Factors,"The product performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.",,ChildOf:697,Not Language-Specific,Not Technology-Specific,,Integrity;Access Control,CVE-2005-2782;CVE-2014-6394
CWE-1024,Comparison of Incompatible Types,"The product performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.",,ChildOf:697,JavaScript;PHP;Not Language-Specific,,,Other,
CWE-1025,Comparison Using Wrong Factors,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",,ChildOf:697,Not Language-Specific,,,Other,
CWE-103,Struts: Incomplete validate() Method Definition,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",,ChildOf:573;ChildOf:20,Java,,,Other;Confidentiality;Integrity;Availability,
CWE-1037,Processor Optimization Removal or Modification of Security-critical Code,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.",,ChildOf:1038,Not Language-Specific,Processor Hardware,Low,Integrity,CVE-2017-5715;CVE-2017-5753;CVE-2017-5754
CWE-1038,Insecure Automated Optimizations,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",,ChildOf:435;ChildOf:758,Not Language-Specific,,Low,Integrity,CVE-2017-5715;CVE-2008-1685
CWE-1039,Inadequate Detection or Handling of Adversarial Input Perturbations in Automated Recognition Mechanism,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.","When techniques such as machine learning are used to automatically classify input streams, and those classifications are used for security-critical decisions, then any mistake in classification can introduce a vulnerability that allows attackers to cause the product to make the wrong security decision or disrupt service of the automated mechanism. If the mechanism is not developed or ""trained"" with enough input data or has not adequately undergone test and evaluation, then attackers may be able to craft malicious inputs that intentionally trigger the incorrect classification. Targeted technologies include, but are not necessarily limited to: automated speech recognition automated image recognition automated cyber defense Chatbot, LLMs, generative AI For example, an attacker might modify road signs or road surface markings to trick autonomous vehicles into misreading the sign/marking and performing a dangerous action. Another example includes an attacker that crafts highly specific and complex prompts to ""jailbreak"" a chatbot to bypass safety or privacy mechanisms, better known as prompt injection attacks.",ChildOf:693;ChildOf:697,Not Language-Specific,AI/ML,,Integrity;Availability;Confidentiality;Other,
CWE-104,Struts: Form Bean Does Not Extend Validation Class,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",,ChildOf:573;ChildOf:20,Java,,,Other;Confidentiality;Integrity;Availability,
CWE-1041,Use of Redundant Code,"The product has multiple functions, methods, procedures, macros, etc. that contain the same code.",,ChildOf:710,Not Language-Specific,,,Other,
CWE-1042,Static Member Data Element outside of a Singleton Class Element,"The code contains a member element that is declared as static (but not final), in which its parent class element is not a singleton class - that is, a class element that can be used only once in the 'to' association of a Create action.",,ChildOf:1176,Not Language-Specific,,,Other,
CWE-1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,The product uses a data element that has an excessively large number of sub-elements with non-primitive data types such as structures or aggregated objects.,"While the interpretation of ""excessively large"" may vary for each product or developer, CISQ recommends a default of 5 sub-elements.",ChildOf:1093,Not Language-Specific,,,Other,
