ID,Name,Status,Has_Member
Category-2,7PK - Environment,Draft,CWE-11;CWE-12;CWE-13;CWE-14;CWE-5;CWE-6;CWE-7;CWE-8;CWE-9
Category-16,Configuration,Obsolete,
Category-19,Data Processing Errors,Draft,CWE-130;CWE-166;CWE-167;CWE-168;CWE-178;CWE-182;CWE-186;CWE-229;CWE-233;CWE-237;CWE-241;CWE-409;CWE-472;CWE-601;CWE-611;CWE-624;CWE-625;CWE-776;CWE-1024
Category-133,String Errors,Draft,CWE-134;CWE-135;CWE-480
Category-136,Type Errors,Draft,CWE-681;CWE-843;CWE-1287
Category-137,Data Neutralization Issues,Draft,CWE-76;CWE-78;CWE-79;CWE-88;CWE-89;CWE-90;CWE-91;CWE-93;CWE-94;CWE-117;CWE-140;CWE-170;CWE-463;CWE-464;CWE-641;CWE-694;CWE-791;CWE-838;CWE-917;CWE-1236
Category-189,Numeric Errors,Draft,CWE-128;CWE-190;CWE-191;CWE-193;CWE-369;CWE-681;CWE-839;CWE-1335;CWE-1339;CWE-1389
Category-199,Information Management Errors,Draft,CWE-201;CWE-204;CWE-205;CWE-208;CWE-209;CWE-212;CWE-213;CWE-214;CWE-215;CWE-312;CWE-319;CWE-359;CWE-497;CWE-524;CWE-538;CWE-921;CWE-1230
Category-227,7PK - API Abuse,Draft,CWE-242;CWE-243;CWE-244;CWE-245;CWE-246;CWE-248;CWE-250;CWE-251;CWE-252;CWE-558
Category-251,Often Misused: String Management,Incomplete,
Category-254,7PK - Security Features,Incomplete,CWE-256;CWE-258;CWE-259;CWE-260;CWE-261;CWE-272;CWE-284;CWE-285;CWE-330;CWE-359;CWE-798
Category-255,Credentials Management Errors,Draft,CWE-256;CWE-257;CWE-260;CWE-261;CWE-262;CWE-263;CWE-324;CWE-521;CWE-523;CWE-549;CWE-620;CWE-640;CWE-798;CWE-916;CWE-1392
Category-264,"Permissions, Privileges, and Access Controls",Obsolete,
